Frequency,Log Magnitude,Phase
1248000000.0,-19.27517544,140.6888752
1249000000.0,-19.41282644,138.6671239
1250000000.0,-19.57480592,136.6675969
1251000000.0,-19.74674056,134.7581737
1252000000.0,-19.92761267,132.9919374
1253000000.0,-20.09755546,131.3507532
1254000000.0,-20.25707254,129.8183938
1255000000.0,-20.39770303,128.3293002
1256000000.0,-20.52247558,126.8179998
1257000000.0,-20.62397857,125.2298911
1258000000.0,-20.71003106,123.578786
1259000000.0,-20.79289651,121.7634954
1260000000.0,-20.86812288,119.7602862
1261000000.0,-20.94637098,117.6280101
1262000000.0,-21.04732431,115.3164507
1263000000.0,-21.16804911,112.8591777
1264000000.0,-21.31633006,110.3759811
1265000000.0,-21.48461169,107.8493168
1266000000.0,-21.67767611,105.3435389
1267000000.0,-21.89489659,102.9135771
1268000000.0,-22.13181163,100.5388591
1269000000.0,-22.37363856,98.28711862
1270000000.0,-22.63071291,96.13316996
1271000000.0,-22.88122194,94.02651407
1272000000.0,-23.14117563,92.00309527
1273000000.0,-23.40040176,90.11346209
1274000000.0,-23.65794635,88.3098564
1275000000.0,-23.88040344,86.58000993
1276000000.0,-24.09144963,84.86080184
1277000000.0,-24.28276135,82.97069128
1278000000.0,-24.47699612,80.97787748
1279000000.0,-24.67409812,78.94077222
1280000000.0,-24.86459397,76.96496881
1281000000.0,-25.04382127,74.9221921
1282000000.0,-25.2039387,72.84773517
1283000000.0,-25.33788193,70.55300122
1284000000.0,-25.47467375,68.06654149
1285000000.0,-25.60423873,65.3400813
1286000000.0,-25.74486815,62.36256755
1287000000.0,-25.90663885,59.22947623
1288000000.0,-26.07876075,56.0459804
1289000000.0,-26.24727004,52.69274883
1290000000.0,-26.42442048,49.20566637
1291000000.0,-26.59214044,45.5821588
1292000000.0,-26.76320972,41.63367745
1293000000.0,-26.94863163,37.32071651
1294000000.0,-27.18058859,32.73897624
1295000000.0,-27.46003975,28.12238747
1296000000.0,-27.77778081,23.54061785
1297000000.0,-28.12614892,19.17241079
1298000000.0,-28.45256423,15.02949132
1299000000.0,-28.74172907,11.00948453
1300000000.0,-29.01035608,6.841139541
